"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
602,bay,12040,550353.5753,4193985.9416
603,bay,12060,550342.3262,4194002.4782
604,bay,12080,550331.0776,4194019.0151
605,bay,12100,550319.9017,4194035.6012
606,bay,12120,550308.7258,4194052.1873
607,bay,12140,550297.5498,4194068.7734
608,bay,12160,550286.3739,4194085.3595
609,bay,12180,550275.1980,4194101.9456
610,bay,12200,550264.0221,4194118.5317
611,bay,12220,550252.8462,4194135.1178
612,bay,12240,550241.6702,4194151.7039
613,bay,12260,550230.4943,4194168.2900
614,bay,12280,550219.3184,4194184.8761
615,bay,12300,550208.1425,4194201.4622
616,bay,12320,550196.9665,4194218.0483
617,bay,12340,550185.7906,4194234.6344
618,bay,12360,550174.6500,4194251.2442
619,bay,12380,550163.5180,4194267.8599
620,bay,12400,550152.3860,4194284.4755
621,bay,12420,550141.2540,4194301.0911
622,bay,12440,550130.1220,4194317.7067
623,bay,12460,550118.9901,4194334.3224
624,bay,12480,550107.8581,4194350.9380
625,bay,12500,550096.7339,4194367.5588
626,bay,12520,550085.6582,4194384.2120
627,bay,12540,550074.5824,4194400.8652
628,bay,12560,550063.5067,4194417.5183
629,bay,12580,550052.4520,4194434.1854
630,bay,12600,550041.4242,4194450.8704
631,bay,12620,550030.3964,4194467.5553
